,tweet,Lemma,Vader Sentiment,Vader Analysis
0,good morning makes my day to see a tesla first thing tokyo japan 東京 日本 ,  good morning make day see tesla first thing tokyo japan 東京 日本,0.4404,Neutral
1,tesla tsla technicalindicator market types mt   | extreme fear   view interactive details       ,  tesla tsla technicalindicator market type mt | extreme fear view interactive detail,-0.5413,Negative
2,tsla winnings of initial btc investment🙌     realized  m estimating an average buy price of /btc with now  btc holdings btcusd tesla bitcoin crypto,  tsla winning initial btc investment🙌 realize estimate average buy price /btc btc holding btcusd tesla bitcoin crypto,0.5267,Positive
3,  this has happened never at each and every tesla supercharger for all my road trips since   i've seen a few examples in the news of vandalized and cut cords but that isn't tesla's fault,  happen never every tesla supercharger road trip since 've see example news vandalized cut cord n't tesla 's fault,0.0408,Neutral
4, so lets talk charging for our great american adventure 🇺🇸 if we would have taken my husbands vehicle it would of cost be…,  lets talk charge great american adventure 🇺🇸 would take husband vehicle would cost be…,0.7506,Positive
5,biden should give a  tax credit for ev's especially tesla considering they pretty much the only ev out   biden needs to stop being a cuck to the unions the unions already destroyed detroit stop living in the past,  biden give tax credit ev 's especially tesla consider pretty much ev biden need stop cuck union union already destroy detroit stop living past,-0.2111,Neutral
6, tesla number   was just registered in norway 🇳🇴🔋🥳  it was a model y performance from berlin 🇩🇪  source ,  tesla number register norway 🇳🇴🔋🥳 model performance berlin 🇩🇪 source,0.4404,Neutral
7, many employees leave tesla's new factory in berlin according to this article mostly because of unequal/low salaries and…,  many employee leave tesla 's new factory berlin accord article mostly unequal/low salary and…,-0.0516,Neutral
8, f lightning charging our tesla model y and running a compressor vacuum work light and charging a battery incredible…,  f lightning charge tesla model run compressor vacuum work light charge battery incredible…,0.0,Neutral
9, for dear mr musk♥️ what do you think mrmusk ✔️tesla ceremonial car     tesla diplomat ,  dear mr musk♥️ think mrmusk ✔️tesla ceremonial car tesla diplomat,0.7783,Positive
10,tesla tsla options trade of the week  take a look  ,  tesla tsla option trade week take look,0.0,Neutral
11, win a tesla supercar model x® plaid closes june   no donation or payment is necessary to enter or win this sweepstak…,  win tesla supercar model x® plaid close june donation payment necessary enter win sweepstak…,0.8225,Positive
